,DATE,RESIDUE_C,HUMUS_C,AMENDED_C,LITTER_C,CO2_FLUX,O2_FLUX,AUTO_RESP,MICRO_C,SURF_RES,CH4_FLUX,SUR_DOC+SED_FLX,SUB_DOC_FLX,SUB_DIC_FLX,ATM_CO2,NBP,FIRE_CO2_EMIT,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10
0,1011998.0,520.6404,5829.505,0.0,0.0,-0.3679025,7.701474,0.0,173.5639,299.2622,-0.04496229,0.0,0.235829,0.1031063,360.0,-0.7518001,0.0,208.3618,321.3799,978.3816,978.8501,959.879,960.0927,347.6805,464.7213,394.9324,329.9658
1,2011998.0,520.2319,5827.954,0.0,0.0,-1.328162,17.8412,0.0,174.6474,298.9545,-0.05765663,0.0,0.2784259,0.2709243,360.0,-1.935169,0.0,208.3715,321.26,977.9357,978.4709,959.5856,959.8572,347.6099,464.654,394.8999,329.9523
2,3011998.0,519.4646,5826.513,0.0,0.0,-3.758204,29.28486,0.0,175.8753,298.2933,-0.06057519,0.0,0.3025606,0.4054218,360.0,-4.526762,0.0,208.4164,321.0845,977.5222,978.1268,959.3218,959.6431,347.5475,464.5858,394.8688,329.9361
3,4011998.0,518.748,5825.145,0.0,0.0,-6.237416,40.25722,0.0,176.9622,297.6817,-0.06047708,0.0,0.320007,0.4859775,360.0,-7.103878,0.0,208.4474,320.9328,977.129,977.7904,959.0721,959.4471,347.4888,464.5228,394.8343,329.9193
4,5011998.0,518.1078,5823.846,0.0,0.0,-8.273404,48.82027,0.0,177.8982,297.1453,-0.06030168,0.0,0.3332899,0.5341875,360.0,-9.201183,0.0,208.4754,320.7908,976.7527,977.4705,958.8353,959.2623,347.4342,464.4627,394.7981,329.9024
5,6011998.0,517.3311,5822.615,0.0,0.0,-10.25327,58.60921,0.0,178.9017,296.4724,-0.06009642,0.0,0.3430013,0.5683859,360.0,-11.22475,0.0,208.5069,320.6548,976.3896,977.1705,958.6084,959.0856,347.3832,464.4054,394.7617,329.8882
6,7011998.0,516.4559,5821.441,0.0,0.0,-12.27197,68.08796,0.0,179.9399,295.701,-0.05984752,0.0,0.3498924,0.5942898,360.0,-13.276,0.0,208.5402,320.5261,976.045,976.8807,958.389,958.9139,347.3335,464.3501,394.7268,329.8737
7,8011998.0,515.4966,5820.307,0.0,0.0,-14.27815,76.88699,0.0,180.9963,294.8463,-0.05954936,0.0,0.3555381,0.6148143,360.0,-15.30805,0.0,208.5767,320.4044,975.7156,976.6017,958.1653,958.7502,347.284,464.2964,394.692,329.858
8,9011998.0,514.4221,5819.199,0.0,0.0,-16.3143,85.08141,0.0,182.0906,293.8819,-0.05923697,0.0,0.3600263,0.631505,360.0,-17.36507,0.0,208.6166,320.2842,975.3925,976.3274,957.9432,958.5879,347.2346,464.2436,394.6591,329.8416
9,10011998.0,513.2645,5818.118,0.0,0.0,-18.41742,92.77585,0.0,183.2252,292.8361,-0.05893734,0.0,0.3635603,0.6451739,360.0,-19.48509,0.0,208.6593,320.1627,975.0759,976.058,957.7263,958.4302,347.1861,464.1914,394.6272,329.8252
