,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NH4_RES,FIRE_SON_LOSS,N2_FLUX
0,1011998.0,22.01931,498.5876,0.0,0.0,0.1598635,7.57861,0.0,0.02066725,0.0,0.1008667,-0.001624401,-2.490769e-06,3.450791e-07,24.23364,0.1517213,0.6964188,0.4495976,0.5006207,0.4002131,0.368587,0.09396863,0.02127891,0.5061357,1.420623,1.48617,1.251328,1.188142,1.178941,1.92756,2.133013,13.9649,0.0,-0.217843
1,2011998.0,22.0324,498.4943,0.0,0.0,0.1213764,7.554879,0.0,0.02398614,0.0,0.193553,-0.002414612,-2.762667e-06,5.112935e-05,24.40059,0.1003954,1.014562,0.253548,0.2560003,0.1857027,0.1707113,0.0672923,0.02754601,0.3528074,0.5907258,1.829983,1.581492,1.325925,1.234366,1.69433,2.037374,16.30201,0.0,-0.2576126
2,3011998.0,22.05501,498.4123,0.0,0.0,0.1083401,7.528948,0.0,0.02611596,0.0,0.277494,-0.003898246,-1.514609e-06,0.0001995111,24.56646,0.08397586,0.5369422,0.1883564,0.1902023,0.136862,0.1246826,0.06105762,0.03116743,0.3285885,1.178057,2.027857,1.778894,1.431374,1.349708,1.498903,1.882474,18.68494,0.0,-0.2641533
3,4011998.0,22.07851,498.3302,0.0,0.0,0.1042919,7.504672,0.0,0.02769667,0.0,0.3563231,-0.005456021,4.177975e-08,0.0003321054,24.71334,0.07068111,0.3971874,0.1442259,0.1435365,0.1019383,0.09224615,0.05766847,0.03400377,0.3006306,1.698268,2.234993,1.940872,1.516917,1.393972,1.353043,1.81587,20.53843,0.0,-0.2649126
4,5011998.0,22.09086,498.2496,0.0,0.0,0.102384,7.495303,0.0,0.02889454,0.0,0.4288879,-0.007013052,1.708751e-06,0.0004291589,24.83249,0.06109791,0.3021221,0.1195867,0.1144975,0.07811507,0.07020644,0.05504831,0.03610004,0.2537003,2.062105,2.473814,2.115573,1.608153,1.431073,1.29911,1.785405,22.11614,0.0,-0.2652962
5,6011998.0,22.1042,498.1712,0.0,0.0,0.1012711,7.490306,0.0,0.02976713,0.0,0.4929991,-0.008732443,3.652168e-06,0.00054458,24.95186,0.05364776,0.2316561,0.1039949,0.09761693,0.06273614,0.05681288,0.05278838,0.03758969,0.2408431,2.267267,2.679976,2.286797,1.704799,1.472651,1.260352,1.764733,23.65063,0.0,-0.2655717
6,7011998.0,22.12672,498.094,0.0,0.0,0.1007293,7.483952,0.0,0.03038267,0.0,0.5472643,-0.01051378,5.823497e-06,0.0006690497,25.07904,0.04814153,0.1818939,0.09356678,0.08761869,0.05441894,0.04967816,0.05094079,0.03865632,0.2244325,2.376568,2.850115,2.452528,1.802343,1.508115,1.201238,1.751633,24.89126,0.0,-0.2657812
7,8011998.0,22.15142,498.0173,0.0,0.0,0.1004713,7.485189,0.0,0.03088579,0.0,0.5910137,-0.01236112,8.283892e-06,0.0007967725,25.20604,0.04570893,0.1452935,0.08566619,0.08073491,0.04959205,0.04559496,0.04949009,0.03936994,0.1954327,2.50726,3.033377,2.619818,1.897538,1.52727,1.143358,1.740017,25.78329,0.0,-0.2659766
8,9011998.0,22.17157,497.9391,0.0,0.0,0.1002355,7.498554,0.0,0.03128678,0.0,0.6286714,-0.01421374,1.066211e-05,0.0009307387,25.32764,0.04492135,0.1193199,0.08069544,0.0754362,0.0460815,0.04248108,0.0482008,0.03974742,0.1624053,2.761533,3.282193,2.802687,1.989584,1.549725,1.122401,1.727857,26.14199,0.0,-0.2662122
9,10011998.0,22.18363,497.8612,0.0,0.0,0.09985863,7.524738,0.0,0.03160571,0.0,0.6617962,-0.01594413,1.305552e-05,0.001061901,25.44464,0.04478376,0.1017672,0.0784643,0.07207152,0.04375032,0.0402458,0.0470548,0.03986266,0.132716,3.131577,3.608087,2.997202,2.089899,1.585736,1.128915,1.716685,25.82803,0.0,-0.2664861
