,DATE,PRECN,ET,RUNOFF,WATER,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,SURF_ICE,PSI_1,PSI_2,PSI_3,PSI_4,PSI_5,PSI_6,PSI_7,PSI_8,PSI_9,PSI_10,TILE_DRG,SEDIMENT,PSI_SURF,SURF_ELEV,ACTV_LYR,WTR_TBL
0,1011998.0,6.599999,0.2243138,0.0,1419.643,19.04577,130.7372,0.1274933,0.387764,0.395501,0.4090084,0.425676,0.4459769,0.5035789,0.5099042,0.5104994,0.5109006,0.5111479,0.5112635,0.0,0.0,0.3096259,0.1075903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.92802,-0.003175721,-0.002779369,-0.002199832,-0.001660487,-0.001205987,-0.0005980154,-0.0005053015,-0.0005029956,-0.0005013773,18.46579,0.0,-17.88201,0.01848603,-9999.019,-0.2247834
1,2011998.0,6.599999,0.00080629,0.0,1401.947,36.96502,118.0858,0.1825327,0.3668154,0.3706285,0.377454,0.3858697,0.3959242,0.4354836,0.4868588,0.5105245,0.5109123,0.5111542,0.511264,0.0,0.0,0.2397939,0.08285472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4305362,-0.004670517,-0.004370168,-0.003849006,-0.003305343,-0.002764059,-0.00205733,-0.0007805428,-0.0005027589,-0.0005012669,36.08951,0.0,-1.017425,0.01821104,-9999.018,-0.3444705
2,3011998.0,6.599999,-0.4501194,0.0,1386.877,52.48627,78.20692,0.2239884,0.3385069,0.3457953,0.3572228,0.3690001,0.3813024,0.4286246,0.4483995,0.5104686,0.5109203,0.5111581,0.5112641,0.0,0.0,0.2069626,0.017518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1210186,-0.008169962,-0.007076615,-0.005644229,-0.004511374,-0.003593076,-0.002406751,-0.00172515,-0.0005030032,-0.0005011913,51.5513,0.0,-0.3075664,0.01820189,-9999.018,-0.439752
3,4011998.0,6.599999,-0.5208312,0.0,1373.029,66.40527,74.32585,0.1976002,0.3228123,0.3291372,0.3395166,0.3498086,0.3602446,0.4094295,0.4308764,0.4969699,0.5109267,0.5111611,0.511264,0.0,0.0,0.181856,1.265257e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.257724,-0.01137058,-0.009984885,-0.008050339,-0.006538519,-0.005329565,-0.003731898,-0.002539602,-0.00064828,-0.0005011309,65.66225,0.0,-0.7572321,0.01802823,-9999.018,-0.5259487
4,5011998.0,27.2,-0.7563837,0.0,1381.5,78.77029,293.4391,0.1959046,0.3123208,0.3182229,0.3268214,0.3357624,0.3450165,0.3975855,0.420773,0.4762151,0.5109325,0.5111641,0.511264,0.0,0.0,0.1410199,1.132338e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2775755,-0.01433869,-0.01261793,-0.01049017,-0.008699251,-0.007200504,-0.004962028,-0.003191786,-0.000975266,-0.0005010776,78.26099,0.0,-0.7389755,0.01793992,-9999.018,-0.5889251
5,6011998.0,44.40005,-0.9737243,0.0,1388.09,89.59756,397.4386,0.21424,0.2948556,0.3058268,0.3167184,0.326412,0.3366709,0.3934336,0.4130358,0.4550077,0.510938,0.5111668,0.511264,0.0,0.0,0.08408741,9.934089e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1604985,-0.02135735,-0.01661496,-0.01304813,-0.01059237,-0.008546147,-0.005504473,-0.003816533,-0.001509458,-0.000501025,89.3754,0.0,-0.3755054,0.01787278,-9999.018,-0.6533799
6,7011998.0,49.80003,-1.220781,0.0,1384.337,98.99851,390.8954,0.2268984,0.274969,0.2931185,0.3092648,0.3206592,0.3329619,0.3927603,0.4071052,0.4352057,0.5109432,0.5111694,0.511264,0.0,0.0,0.02444233,3.942169e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112549,-0.03455758,-0.02233148,-0.01541392,-0.01199234,-0.009235152,-0.00558953,-0.004386227,-0.002313198,-0.0005009772,99.14653,0.0,-0.2305971,0.01777232,-9999.018,-0.7135979
7,8011998.0,67.90005,-1.483286,0.0,1395.124,106.5754,471.654,0.2329541,0.2616712,0.2840906,0.3042526,0.3169052,0.3288845,0.3865744,0.4016494,0.4236216,0.5088245,0.5111706,0.511264,0.0,0.0,0.0007039308,3.275841e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09622663,-0.04698342,-0.02779941,-0.01726213,-0.01300573,-0.01004935,-0.006502493,-0.004992781,-0.003004034,-0.0005209083,108.1511,0.0,-0.140521,0.01766604,-9999.018,-0.74868
8,9011998.0,91.40001,-1.754728,0.0,1412.328,113.1428,577.1429,0.2525945,0.263189,0.2807422,0.3005637,0.3118539,0.322159,0.3787786,0.3960172,0.4174967,0.5042305,0.5111713,0.5112639,0.0,0.0,0.0005792597,5.739926e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05863154,-0.04545762,-0.03021537,-0.01879468,-0.01454844,-0.01160598,-0.007911171,-0.005718034,-0.003456164,-0.0005680392,116.4884,0.0,-0.06581713,0.01759092,-9999.018,-0.7661238
9,10011998.0,91.40001,-2.019964,0.0,1406.785,118.9518,544.6085,0.2762925,0.2774619,0.2835402,0.2978456,0.3074716,0.3154214,0.3702583,0.3906518,0.4131817,0.4988269,0.5111741,0.511264,0.0,0.0,0.0004742325,1.963853e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03383826,-0.03293248,-0.02824626,-0.02002986,-0.01605558,-0.01344064,-0.009851613,-0.00651876,-0.003819361,-0.0006297635,124.1379,0.0,-0.03381984,0.0175145,-9999.018,-0.8328614
10,11011998.0,91.40001,-2.129259,0.0,1401.862,123.9832,520.8994,0.2908848,0.290621,0.2913464,0.2978118,0.3045684,0.3104757,0.3642619,0.3857158,0.4098919,0.4932488,0.5111752,0.5112639,0.0,0.0,0.0003884361,1.963631e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02365685,-0.02379862,-0.02339552,-0.02005975,-0.01715724,-0.01500863,-0.01154282,-0.007366712,-0.004124097,-0.000701377,131.1044,0.0,-0.02353379,0.01744311,-9999.018,-0.858852
