,DATE,RADN,TMAX_AIR,TMIN_AIR,HMAX_AIR,HMIN_AIR,WIND,PRECN,TMAX_SOIL_1,TMIN_SOIL_1,TMAX_SOIL_2,TMIN_SOIL_2,TMAX_SOIL_3,TMIN_SOIL_3,TMAX_SOIL_4,TMIN_SOIL_4,TMAX_SOIL_5,TMIN_SOIL_5,TMAX_SOIL_6,TMIN_SOIL_6
0,1011998.0,3.405348,-12.8,-27.7,0.222936,0.05742478,244.944,6.6,3.8396,-8.203888,8.183624,-1.248749,8.322327,0.04830933,8.342316,1.293243,8.277252,2.195251,8.275299,3.002747
1,2011998.0,2.202264,4.4,-12.2,0.6995859,0.2352047,276.444,0.0,-0.1809998,-2.54248,0.1965942,-0.2852478,0.6410522,0.3711853,1.31665,1.219421,2.186371,1.787842,2.987213,2.335144
2,3011998.0,1.594008,6.1,4.1,0.9045212,0.7118323,431.244,0.0,0.01208496,-0.1774902,0.2176514,0.197052,0.6381531,0.592041,1.217743,1.065857,1.78476,1.530914,2.330841,1.981964
3,4011998.0,3.393072,4.5,-9.1,0.8048987,0.2150028,491.472,0.0,-0.001983643,-0.1380615,0.5397949,0.1751404,0.8295288,0.5640564,1.18808,1.024811,1.545593,1.467224,1.979004,1.885101
4,5011998.0,1.006416,-1.4,-9.6,0.5444396,0.2703395,223.2,20.6,-0.0003356934,-0.217041,0.544342,0.442688,0.8129272,0.7569885,1.176727,1.122803,1.53714,1.460266,1.889618,1.780609
5,6011998.0,1.307052,0.0,-3.7,0.6023561,0.4600766,185.652,17.2,0.1156921,-0.01205444,0.61203,0.5437622,0.8589478,0.8135986,1.149414,1.137085,1.460114,1.439178,1.780029,1.726562
6,7011998.0,1.703772,-1.3,-5.6,0.5484042,0.3994656,331.38,5.399999,0.1515808,0.1164246,0.6321716,0.6125793,0.8713379,0.859314,1.150818,1.142944,1.438995,1.412109,1.726105,1.677795
7,8011998.0,1.282572,0.2,-2.1,0.6110671,0.5174005,144.468,18.1,0.7650452,0.1446533,1.047333,0.6271362,1.191315,0.8659363,1.365173,1.132507,1.550903,1.394775,1.747528,1.651947
8,9011998.0,0.7415639,1.1,-4.0,0.6516815,0.4499882,86.4,23.5,0.8561096,0.7672424,1.161652,1.049744,1.318298,1.194,1.496002,1.367798,1.67514,1.553284,1.856018,1.749481
9,10011998.0,1.737648,1.5,-6.2,0.6657481,0.3206068,439.236,0.0,0.8736877,0.8565369,1.180817,1.162201,1.340027,1.318878,1.52179,1.496643,1.701996,1.67572,1.881348,1.856598
10,11011998.0,3.08754,-5.9,-14.9,0.319609,0.1926997,413.604,0.0,0.8887329,0.8738098,1.18399,1.179382,1.340057,1.336548,1.521912,1.517487,1.702332,1.696442,1.881561,1.874146
11,12011998.0,2.703276,-7.3,-18.6,0.3134516,0.1356801,246.312,0.0,1.200531,0.8891296,1.352386,1.184174,1.438782,1.337921,1.567139,1.517548,1.715027,1.694336,1.875031,1.867279
12,13011998.0,0.711828,-0.6,-12.6,0.5768893,0.1829502,570.816,3.8,1.444519,1.206451,1.601959,1.358032,1.685944,1.444031,1.792999,1.571014,1.907623,1.71756,2.029297,1.876282
13,14011998.0,3.820212,-13.2,-19.5,0.1878474,0.09253646,338.148,0.0,1.546753,1.446198,1.712128,1.603638,1.798889,1.687592,1.904724,1.794586,2.014099,1.908997,2.127289,2.030548
14,15011998.0,1.81134,-11.0,-17.6,0.2447371,0.1308282,497.52,0.3,1.55014,1.522034,1.725006,1.712708,1.819641,1.79953,1.934845,1.905426,2.052002,2.014893,2.169495,2.128052
15,16011998.0,2.286396,-6.5,-10.9,0.3441136,0.2493512,319.752,6.7,1.521027,1.413879,1.715942,1.635101,1.816772,1.75,1.934631,1.88385,2.052307,2.015625,2.17099,2.145599
16,17011998.0,2.969208,-6.8,-10.8,0.3040144,0.227096,399.78,0.0,1.424225,1.412231,1.634888,1.628906,1.749695,1.740082,1.883484,1.869812,2.01532,1.99826,2.145264,2.126404
17,18011998.0,1.792332,-5.5,-9.4,0.4024669,0.287059,247.824,1.2,1.452789,1.4245,1.650848,1.632629,1.75412,1.74118,1.877045,1.869812,2.000336,1.99762,2.126312,2.123596
18,19011998.0,0.583056,-3.3,-6.6,0.4738455,0.3705426,112.464,2.7,1.492584,1.453094,1.678192,1.651062,1.775269,1.754303,1.891968,1.877136,2.009705,2.000397,2.128326,2.12384
19,20011998.0,0.768061,-2.9,-4.9,0.4543606,0.3932844,322.668,0.0,1.560547,1.493195,1.729218,1.678619,1.817841,1.775604,1.92514,1.892242,2.034668,2.009888,2.145782,2.128418
