,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NH4_RES,FIRE_SON_LOSS,ECO_HVST_N,FIRE_NOX_EMIT,N2_FLUX
0,1012001.0,22.35251,1125.975,0.0,0.0,0.03459718,1.218317,0.0,0.0001525341,0.0,-0.007842775,-0.0005526891,1.688506e-05,6.683543e-05,29.92246,0.05045806,0.04849881,0.04273688,0.03426256,0.02859038,0.01874471,0.01469794,0.01776013,0.01354514,0.008927619,0.004162196,0.00236589,0.0005980167,0.0002109448,0.0,0.7597995,1.317193,1.444261,1.470794,0.2898122,0.3274014,0.2505529,0.2996982,0.2580526,0.2450935,0.2557328,0.2543469,0.2547732,0.2680908,0.0,3.011875,0.0,0.0,0.0,-0.002355727
1,2012001.0,22.36353,1125.874,0.0,0.0,0.04693092,1.286935,0.0,0.0001525999,0.0,-0.01223844,-0.0007229361,3.700211e-05,8.632857e-05,29.94283,0.06232923,0.05941747,0.05017877,0.03993481,0.03373755,0.02311251,0.01755014,0.02362658,0.01798002,0.01247314,0.006934513,0.004320967,0.00146441,0.0004617762,0.0,0.4866271,1.336514,1.494343,1.525483,0.3852239,0.4154976,0.3038663,0.3605897,0.2878001,0.254553,0.257695,0.2549905,0.2554599,0.2751576,0.0,4.636538,0.0,0.0,0.0,-0.00247436
2,3012001.0,22.37613,1125.787,0.0,0.0,0.05703129,1.339693,0.0,0.0001526,0.0,-0.01545719,-0.001240562,5.618616e-05,9.512017e-05,30.01802,0.06038926,0.06483958,0.0541932,0.04365679,0.03717425,0.02595925,0.0192009,0.02834493,0.02144838,0.01535614,0.009246384,0.006039183,0.002311402,0.0007026001,0.0,0.09347007,1.344494,1.549313,1.55769,0.4581521,0.4833072,0.3476436,0.4115687,0.3159831,0.26428,0.2599927,0.2558275,0.2564114,0.2799477,0.0,6.985439,0.0,0.0,0.0,-0.002714535
3,4012001.0,22.37687,1125.7,0.0,0.0,0.06511819,1.405754,0.0,0.0001526,0.0,-0.01806741,-0.001740977,7.177695e-05,0.0001090906,30.15847,0.0571258,0.0636378,0.0532911,0.04421239,0.03839425,0.02729262,0.02001645,0.03218869,0.02417594,0.01759863,0.01117049,0.007531949,0.003088966,0.0009256565,0.0,0.05554466,1.461502,1.667956,1.617026,0.5374813,0.5463594,0.3870524,0.4559166,0.341882,0.2739505,0.2624685,0.2568098,0.2573712,0.2836481,0.0,10.1446,0.0,0.0,0.0,-0.003195549
4,5012001.0,22.37723,1125.599,0.0,0.0,0.07205489,1.484931,0.0,0.0001526,0.0,-0.02030209,-0.001883872,8.599524e-05,0.0001366314,30.35891,0.05599487,0.06608007,0.0533802,0.04423317,0.03884514,0.02756657,0.02012722,0.03523477,0.02637121,0.01938746,0.01279205,0.008835105,0.003803976,0.001133122,0.0,0.05437096,1.726729,1.869225,1.7242,0.6435328,0.6157943,0.4271672,0.497733,0.3659824,0.2834205,0.2650501,0.2579041,0.2583041,0.2866744,0.0,13.33976,0.0,0.0,0.0,-0.003513881
5,6012001.0,22.37687,1125.493,0.0,0.0,0.07800852,1.571717,0.0,0.0001526,0.0,-0.02228113,-0.001958373,0.0001005227,0.0001734124,30.6722,0.0543543,0.06963796,0.05445553,0.04392863,0.03882501,0.02741247,0.01993529,0.03760217,0.02814197,0.02084172,0.01417937,0.009987278,0.00446949,0.001328909,0.0,0.0474124,2.055954,2.125238,1.867383,0.7699841,0.6897812,0.4683846,0.5392155,0.3889888,0.2926795,0.2677029,0.2590935,0.2592932,0.2891783,0.0,16.47146,0.0,0.0,0.0,-0.003788908
6,7012001.0,22.38049,1125.385,0.0,0.0,0.0822069,1.6558,0.0,0.0001526,0.0,-0.02408499,-0.00201989,0.0001156988,0.0002085644,30.91481,0.05262149,0.06942622,0.05390202,0.04379243,0.03882131,0.02725519,0.0197025,0.03943016,0.02956353,0.02203018,0.01537351,0.0110116,0.005091864,0.001514862,0.0,0.05259019,2.330855,2.36456,2.014985,0.9038604,0.7649434,0.5098331,0.5808713,0.4113669,0.3017504,0.2704053,0.2603705,0.2603735,0.291259,0.0,18.04174,0.0,0.0,0.0,-0.00401254
7,8012001.0,22.38439,1125.288,0.0,0.0,0.08575633,1.729308,0.0,0.0001526,0.0,-0.02575408,-0.002085391,0.0001315541,0.0002337547,31.1032,0.05319882,0.06790584,0.05314183,0.04389368,0.03894032,0.02734452,0.01966829,0.0409219,0.03070692,0.02300353,0.01640408,0.01192359,0.005674022,0.001691889,0.0,0.04982834,2.52237,2.547411,2.127251,1.018869,0.8333637,0.5487433,0.6216989,0.4332793,0.3106587,0.2731401,0.2617203,0.2613708,0.2931632,0.0,19.3243,0.0,0.0,0.0,-0.004221083
8,9012001.0,22.38521,1125.197,0.0,0.0,0.08969744,1.798332,0.0,0.0001526,0.0,-0.02731307,-0.002156805,0.0001476648,0.0002553797,31.33689,0.05299269,0.06709468,0.05262984,0.04393482,0.03901939,0.02744746,0.01971022,0.04219001,0.03164081,0.02380265,0.01729523,0.01273644,0.006218306,0.001860523,0.0,0.04918288,2.699524,2.71424,2.228665,1.123508,0.8956768,0.5848114,0.6606904,0.4546215,0.3194126,0.2758946,0.2631404,0.2622799,0.2949334,0.0,22.15021,0.0,0.0,0.0,-0.004422098
9,10012001.0,22.38019,1125.115,0.0,0.0,0.0929271,1.866464,0.0,0.0001526007,0.0,-0.02878372,-0.002200284,0.0001624748,0.0002752201,31.65475,0.04729782,0.0660253,0.05193062,0.04376512,0.03895797,0.02745448,0.01970942,0.04324596,0.03241378,0.02446121,0.01806713,0.01346164,0.006727234,0.002021024,0.0,0.04023148,2.888752,2.888918,2.328484,1.225177,0.9557274,0.6195188,0.6980345,0.4753188,0.3280042,0.2786657,0.2646138,0.2633297,0.2963803,0.0,24.61848,0.0,0.0,0.0,-0.00460224
10,11012001.0,22.37181,1125.03,0.0,0.0,0.09545664,1.941176,0.0,0.0001526007,0.0,-0.03018814,-0.002234714,0.0001762324,0.0003025043,32.06923,0.04486988,0.06681567,0.05188814,0.04343484,0.03871581,0.02720571,0.01957292,0.04409331,0.03305625,0.0250062,0.0187367,0.01410927,0.007203045,0.002173905,0.0,0.03575844,3.146935,3.120188,2.453953,1.338011,1.016562,0.6539823,0.734296,0.4954101,0.3364266,0.2814451,0.2661251,0.2643691,0.2976991,0.0,26.30235,0.0,0.0,0.0,-0.004768085
11,12012001.0,22.37507,1124.947,0.0,0.0,0.09763166,2.0026,0.0,0.0001526007,0.0,-0.031534,-0.002266912,0.0001909302,0.0003228146,32.24676,0.04716932,0.06619848,0.0521672,0.0438314,0.03895224,0.02730545,0.01954648,0.04475729,0.03358545,0.02545865,0.01931827,0.0146881,0.007647885,0.002319577,0.0,0.05519968,3.207438,3.278015,2.563961,1.443197,1.075519,0.6877374,0.7700822,0.5150222,0.3446825,0.2842243,0.2676542,0.2653258,0.2989816,0.0,27.40826,0.0,0.0,0.0,-0.004929636
12,13012001.0,22.37784,1124.875,0.0,0.0,0.09877486,2.056504,0.0,0.0001526007,0.0,-0.03282649,-0.002299051,0.0002038887,0.0003343012,32.36553,0.03927701,0.0626747,0.05168484,0.04412607,0.03936344,0.02768821,0.01972219,0.04539115,0.03403143,0.02583541,0.01982403,0.01520589,0.008063832,0.002458587,0.0,0.04485912,3.277888,3.374889,2.638342,1.53,1.127653,0.7187388,0.804388,0.5341602,0.35278,0.2869969,0.2691918,0.26621,0.3002534,0.0,27.15523,0.0,0.0,0.0,-0.005080829
13,14012001.0,22.37522,1124.804,0.0,0.0,0.09954813,2.115728,0.0,0.0001526007,0.0,-0.03407529,-0.002325825,0.0002161782,0.0003472201,32.50846,0.03745258,0.061346,0.05137389,0.04411851,0.0394417,0.027786,0.01980263,0.04597852,0.03442312,0.0261513,0.0202643,0.01566958,0.008453058,0.002590825,0.0,0.04470449,3.457941,3.511233,2.718551,1.616974,1.177714,0.7483081,0.8369713,0.5527066,0.360716,0.289757,0.2707614,0.2672985,0.3012051,0.0,26.32574,0.0,0.0,0.0,-0.005199648
14,15012001.0,22.3713,1124.736,0.0,0.0,0.1001946,2.173757,0.0,0.0001526007,0.0,-0.03529087,-0.002349542,0.0002280632,0.0003602433,32.67596,0.03535645,0.06032418,0.05109587,0.04403873,0.03946481,0.02784822,0.01985613,0.04648782,0.03476864,0.02641867,0.02064802,0.01608512,0.008817307,0.002716952,0.0,0.03768463,3.600613,3.668549,2.80629,1.705023,1.226378,0.7769803,0.8684411,0.5706787,0.3684829,0.2924999,0.2723403,0.2683308,0.3021415,0.0,25.55256,0.0,0.0,0.0,-0.00531056
15,16012001.0,22.36667,1124.667,0.0,0.0,0.1007772,2.232285,0.0,0.0001526007,0.0,-0.03647387,-0.002370778,0.0002397744,0.0003742308,32.84245,0.03423062,0.05983864,0.05104065,0.04401901,0.03947388,0.02783091,0.01985096,0.04691562,0.03507327,0.02664672,0.02098288,0.01645772,0.009158227,0.00283735,0.0,0.03790699,3.753324,3.829974,2.902699,1.796555,1.27501,0.8051942,0.8990964,0.5881417,0.3760813,0.29522,0.2739143,0.2692693,0.3031108,0.0,24.85656,0.0,0.0,0.0,-0.005414485
16,17012001.0,22.36137,1124.601,0.0,0.0,0.1013521,2.289233,0.0,0.0001526007,0.0,-0.03762529,-0.002389405,0.0002515378,0.0003877256,33.008,0.03248066,0.05935875,0.05094827,0.04402383,0.0395135,0.0278386,0.01984642,0.04728036,0.03534075,0.02684258,0.02127546,0.01679202,0.009477419,0.002952323,0.0,0.03502372,3.900498,3.981114,2.998439,1.887234,1.322953,0.832718,0.9291354,0.6051602,0.3835177,0.2979132,0.2754787,0.2701329,0.3040991,0.0,24.37497,0.0,0.0,0.0,-0.005516049
17,18012001.0,22.35644,1124.536,0.0,0.0,0.1017262,2.345258,0.0,0.0001526007,0.0,-0.03875113,-0.002405729,0.0002632292,0.0004013521,33.16501,0.03302031,0.05957879,0.05108815,0.04412699,0.03958824,0.0278396,0.01983224,0.04759157,0.03557719,0.02701181,0.02153146,0.01709232,0.009776661,0.003061765,0.0,0.038248,4.038455,4.130754,3.096333,1.978132,1.37047,0.8598611,0.958523,0.6217886,0.390801,0.3005767,0.2770597,0.2712452,0.3047638,0.0,23.53174,0.0,0.0,0.0,-0.00561184
