,DATE,RESIDUE_P,HUMUS_P,FERTZR_P,NET_PL_EXCH_P,EXCH_PO4,SUR_DOP+SED_FLX,SUB_DOP_FLX,SUR_DIP_FLX,SUB_DIP_FLX,PRECIP_P,MICRO_P,FIRE_POX_EMIT,PO4_1,PO4_2,PO4_3,PO4_4,PO4_5,PO4_6,PO4_7,PO4_8,PO4_9,PO4_10,PO4_11,PO4_12,PO4_13,PO4_14,PO4_15,EXCH_P_1,EXCH_P_2,EXCH_P_3,EXCH_P_4,EXCH_P_5,EXCH_P_6,EXCH_P_7,EXCH_P_8,EXCH_P_9,EXCH_P_10,EXCH_P_11,EXCH_P_12,EXCH_P_13,EXCH_P_14,EXCH_P_15,PO4_RES,EXCH_P_RES,ECO_HVST_P
0,1012001.0,2.241199,140.4132,0.0,0.0,0.6458696,0.0,1.927905e-05,0.0,-0.001223929,1196.172,2.994784,0.0,0.1230127,0.1111112,0.1078506,0.08939815,0.0680272,0.07738511,0.05682673,0.08447304,0.1246559,0.1144592,0.1105686,0.109769,0.1092395,0.1091806,0.0,0.03075012,0.05238965,0.05101348,0.04041519,0.03110083,0.03920814,0.05149132,0.1160106,0.1847625,0.1833993,0.1844595,0.1841762,0.1841059,0.1849267,0.0,0.2226945,0.0,0.0
1,2012001.0,2.241756,140.3971,0.0,0.0,0.7217857,0.0,1.928723e-05,0.0,-0.001625966,1196.14,2.996296,0.0,0.02504424,0.07306846,0.06882719,0.06041202,0.04934108,0.05310357,0.04205027,0.06583422,0.09265323,0.08263358,0.07878295,0.07793646,0.07735834,0.07721253,0.0,0.04046198,0.08121527,0.08020204,0.06617416,0.05178099,0.05350645,0.06129166,0.1328971,0.2054818,0.2025,0.2038506,0.2032935,0.2031411,0.2051423,0.0,0.02014334,0.0,0.0
2,3012001.0,2.241833,140.3828,0.0,0.0,0.7826473,0.0,1.928724e-05,0.0,-0.001855157,1196.103,3.002782,0.0,0.01589319,0.06326852,0.05989475,0.05084994,0.04153458,0.04325002,0.0357076,0.05836693,0.08127046,0.07201838,0.06830765,0.06747415,0.06690546,0.06673583,0.0,0.04338264,0.1031859,0.1017078,0.08524758,0.06758665,0.06409848,0.06902089,0.1469864,0.2225179,0.2179044,0.2193286,0.2185144,0.2183141,0.2215706,0.0,0.01370329,0.0,0.0
3,4012001.0,2.241659,140.3682,0.0,0.0,0.8385716,0.0,1.928724e-05,0.0,-0.002024454,1196.062,3.016879,0.0,0.008649799,0.09701715,0.07661016,0.05619847,0.04218995,0.04052913,0.03302175,0.05470569,0.07690419,0.06855123,0.06502972,0.06422532,0.06367417,0.06351328,0.0,0.04604613,0.1279447,0.123282,0.102863,0.08177305,0.07322057,0.07582404,0.1598029,0.2381153,0.2320139,0.2334668,0.2324095,0.2322018,0.2367792,0.0,0.01880493,0.0,0.0
4,5012001.0,2.241584,140.3521,0.0,0.0,0.8936533,0.0,1.928724e-05,0.0,-0.00216518,1196.021,3.037234,0.0,0.007870869,0.1307376,0.09604,0.06635688,0.04742625,0.0417464,0.032643,0.05308219,0.07500546,0.06738243,0.06404801,0.06327523,0.06274167,0.06260019,0.0,0.04844274,0.162387,0.1504474,0.1229503,0.09685948,0.08221444,0.0823299,0.1719871,0.2530925,0.2456638,0.2471593,0.2458724,0.2456984,0.2516616,0.0,0.02088235,0.0,0.0
5,6012001.0,2.241407,140.3355,0.0,0.0,0.948948,0.0,1.928724e-05,0.0,-0.002288837,1195.98,3.068887,0.0,0.006710645,0.1533251,0.1095608,0.07373959,0.05144457,0.04323396,0.03284774,0.05250255,0.07410455,0.06696308,0.06379362,0.06305117,0.06253313,0.06241337,0.0,0.05070046,0.2045943,0.182569,0.1458381,0.1134303,0.09149149,0.0888126,0.1838958,0.2677622,0.2591282,0.2606946,0.2591914,0.2590903,0.2665234,0.0,0.02213946,0.0,0.0
6,7012001.0,2.241445,140.319,0.0,0.0,1.004384,0.0,1.928724e-05,0.0,-0.002401453,1195.939,3.093159,0.0,0.007210143,0.1442793,0.1067095,0.07375359,0.05204425,0.04357761,0.0329046,0.05231899,0.07365881,0.06680217,0.06377095,0.06305669,0.06255281,0.06245574,0.0,0.05266684,0.2492742,0.2169331,0.1702967,0.1309762,0.1009848,0.09531688,0.1956889,0.2822606,0.2724984,0.2741642,0.2724588,0.2724748,0.2814373,0.0,0.01527447,0.0,0.0
7,8012001.0,2.24141,140.3037,0.0,0.0,1.059206,0.0,1.928724e-05,0.0,-0.002505796,1195.898,3.111853,0.0,0.009875015,0.1260079,0.09521648,0.06750065,0.04847883,0.0417553,0.03213237,0.05197518,0.07340883,0.066742,0.06382439,0.06313537,0.06264527,0.06257173,0.0,0.05467609,0.2885701,0.2482269,0.1932345,0.1477409,0.1102335,0.1017157,0.2073883,0.2966494,0.285808,0.2875979,0.2857043,0.2858786,0.2964199,0.0,0.01995173,0.0,0.0
8,9012001.0,2.241128,140.2894,0.0,0.0,1.113383,0.0,1.928724e-05,0.0,-0.002603462,1195.856,3.135131,0.0,0.008614989,0.1227489,0.0909925,0.06394323,0.04591301,0.03990932,0.03116929,0.0513855,0.0732045,0.06672593,0.06390506,0.06323823,0.06276183,0.06271224,0.0,0.05727214,0.3238549,0.2763344,0.2140743,0.1631663,0.1189763,0.1078948,0.2189342,0.3109494,0.2990704,0.3010057,0.2989387,0.2993053,0.3114758,0.0,0.01966335,0.0,0.0
9,10012001.0,2.240282,140.2762,0.0,0.0,1.167248,0.0,1.928733e-05,0.0,-0.002695809,1195.813,3.166914,0.0,0.004756851,0.1177474,0.09032648,0.06285918,0.04494472,0.03887571,0.03051371,0.05082346,0.07300638,0.06673001,0.06399688,0.06334984,0.06288742,0.06286138,0.0,0.05915546,0.3582468,0.3034998,0.2340466,0.1779205,0.1273703,0.1138873,0.2303014,0.3251632,0.3122919,0.3143915,0.3121667,0.3127572,0.3265962,0.0,0.01954193,0.0,0.0
