,DATE,RESIDUE_C,HUMUS_C,AMENDED_C,LITTER_C,CO2_FLUX,O2_FLUX,AUTO_RESP,MICRO_C,SURF_RES,CH4_FLUX,SUR_DOC+SED_FLX,SUB_DOC_FLX,SUR_DIC_FLX,SUB_DIC_FLX,ATM_CO2,NBP,FIRE_CO2_EMIT,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_14,FIRE_SOC_LOSS,H2_FLUX,ECO_HVST_C,ECO_LAI,ECO_GPP,ECO_RA,ECO_NPP,ECO_RH,FIRE_CH4_EMIT,TTL_DIC,STG_DEAD
0,1012001.0,540.3379,13393.88,0.0,0.0,-4.966753,17.37998,0.0,214.5867,299.1613,-0.003651584,0.0,0.001485116,0.0,-0.00193732,370.0,-4.969952,0.0,278.6449,1112.801,1381.34,1381.671,835.0449,1116.029,437.3538,1922.158,2137.928,1693.395,587.9656,571.9774,142.9981,35.74941,0.0,-0.0175692,0.0,0.0,0.0,0.0,0.0,-6.793935,0.0,2.128127,0.0
1,2012001.0,540.0091,13392.33,0.0,0.0,-6.584641,20.8292,0.0,214.8158,298.9712,-0.003044453,0.0,0.001485362,0.0,-0.003030409,370.0,-6.58614,0.0,278.7224,1112.544,1381.037,1381.392,834.8804,1115.844,437.2853,1921.925,2137.767,1693.313,587.9492,571.965,142.9958,35.74873,0.0,-0.01757317,0.0,0.0,0.0,0.0,0.0,-8.554124,0.0,2.272104,0.0
2,3012001.0,539.2196,13390.9,0.0,0.0,-8.456768,25.09389,0.0,215.5261,298.2451,-0.002426107,0.0,0.001485362,0.0,-0.003847051,370.0,-8.456833,0.0,278.8715,1112.292,1380.741,1381.139,834.7378,1115.676,437.2218,1921.722,2137.608,1693.235,587.9338,571.9533,142.9935,35.74806,0.0,-0.01757475,0.0,0.0,0.0,0.0,0.0,-10.65307,0.0,2.500312,0.0
3,4012001.0,537.4805,13389.44,0.0,0.0,-11.27179,32.17517,0.0,217.071,296.5888,-0.001846839,0.0,0.001485362,0.0,-0.004527634,370.0,-11.2706,0.0,279.0599,1111.976,1380.423,1380.873,834.5951,1115.511,437.1617,1921.529,2137.446,1693.158,587.9187,571.9418,142.9913,35.74742,0.0,-0.0175816,0.0,0.0,0.0,0.0,0.0,-13.70911,0.0,2.742514,0.0
4,5012001.0,534.8928,13387.98,0.0,0.0,-14.95774,42.00652,0.0,219.2435,294.1292,-0.001293369,0.0,0.001485362,0.0,-0.005130381,370.0,-14.95539,0.0,279.2634,1111.636,1380.09,1380.598,834.4377,1115.342,437.1001,1921.333,2137.289,1693.083,587.9039,571.9305,142.9892,35.74681,0.0,-0.0175994,0.0,0.0,0.0,0.0,0.0,-17.6042,0.0,2.952784,0.0
5,6012001.0,531.2322,13386.56,0.0,0.0,-19.68767,54.71949,0.0,222.2883,290.6225,-0.0007680425,0.0,0.001485362,0.0,-0.005685983,370.0,-19.68424,0.0,279.5158,1111.287,1379.745,1380.31,834.2844,1115.166,437.0365,1921.133,2137.144,1693.011,587.8894,571.9193,142.9872,35.74623,0.0,-0.01763266,0.0,0.0,0.0,0.0,0.0,-22.5243,0.0,3.144104,0.0
6,7012001.0,528.4785,13385.15,0.0,0.0,-23.53905,65.48685,0.0,224.4349,288.0297,-0.0001536605,0.0,0.001485362,0.0,-0.006216005,370.0,-23.53447,0.0,279.72,1110.954,1379.413,1380.027,834.1271,1114.988,436.9722,1920.935,2137.003,1692.94,587.8752,571.9081,142.9852,35.74568,0.0,-0.01764166,0.0,0.0,0.0,0.0,0.0,-26.54081,0.0,3.310335,0.0
7,8012001.0,526.4362,13383.78,0.0,0.0,-26.6408,74.17603,0.0,225.9823,286.1039,0.0005088077,0.0,0.001485362,0.0,-0.006731568,370.0,-26.63505,0.0,279.9168,1110.656,1379.104,1379.759,833.9791,1114.824,436.9116,1920.743,2136.865,1692.87,587.8613,571.8972,142.9833,35.74514,0.0,-0.01764432,0.0,0.0,0.0,0.0,0.0,-29.78939,0.0,3.45844,0.0
8,9012001.0,524.0372,13382.51,0.0,0.0,-30.02502,83.46812,0.0,227.8536,283.8079,0.001185322,0.0,0.001485362,0.0,-0.007239418,370.0,-30.01808,0.0,280.142,1110.37,1378.811,1379.51,833.8276,1114.675,436.8548,1920.557,2136.729,1692.802,587.8477,571.8864,142.9815,35.74463,0.0,-0.0176488,0.0,0.0,0.0,0.0,0.0,-33.31321,0.0,3.598964,0.0
9,10012001.0,520.9048,13381.34,0.0,0.0,-34.02379,93.81071,0.0,230.3717,280.6483,0.001840159,0.0,0.001485369,0.0,-0.007745618,370.0,-34.01569,0.0,280.5612,1110.091,1378.525,1379.262,833.6823,1114.532,436.7992,1920.372,2136.597,1692.741,587.8342,571.8757,142.9797,35.74413,0.0,-0.01765502,0.0,0.0,0.0,0.0,0.0,-37.46757,0.0,3.754631,0.0
