,DATE,RESIDUE_N,HUMUS_N,FERTZR_N,NET_PL_EXCH_N,NH4,NO3,SUR_DON+SED_FLX,SUB_DON_FLX,SUR_DIN_FLX,SUB_DIN_FLX,N2O_FLUX,NH3_FLUX,N2_FIXN,MICRO_N,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NH4_8,NH4_9,NH4_10,NH4_11,NH4_12,NH4_13,NH4_14,NH4_15,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,NO3_8,NO3_9,NO3_10,NO3_11,NO3_12,NO3_13,NO3_14,NO3_15,NH4_RES,FIRE_SON_LOSS,ECO_HVST_N,NET_N_MIN,FIRE_NOX_EMIT,N2_FLUX
0,1012001.0,22.35253,1125.975,0.0,0.0,0.03460993,1.218365,0.0,0.0001164822,0.0,-0.007859034,-0.0005646798,1.712153e-05,6.703897e-05,29.92234,0.05074175,0.04859889,0.04283435,0.03432639,0.02860278,0.01874541,0.01468806,0.01775882,0.01354466,0.008927337,0.004162144,0.00236588,0.0005980224,0.0002109422,0.0,0.7597169,1.316823,1.444411,1.47185,0.2897992,0.3273613,0.2507771,0.2996756,0.2580509,0.2450934,0.2557328,0.2543469,0.2547733,0.2680901,0.0,3.010175,0.0,0.0,0.08790777,0.0,-0.002449471
1,2012001.0,22.36363,1125.873,0.0,0.0,0.04696625,1.28695,0.0,0.0001165025,0.0,-0.01225624,-0.0007344979,3.766136e-05,8.655333e-05,29.94269,0.06325531,0.05948765,0.05023767,0.03997162,0.0337434,0.02310928,0.0175396,0.02362427,0.01797956,0.01247288,0.006934415,0.004320933,0.001464429,0.0004617786,0.0,0.4806294,1.336061,1.494617,1.526636,0.3852001,0.4154295,0.3043135,0.3605559,0.2877954,0.2545525,0.2576948,0.2549905,0.2554599,0.2751573,0.0,4.674972,0.0,0.0,0.1647334,0.0,-0.002568104
2,3012001.0,22.37615,1125.787,0.0,0.0,0.05706329,1.339797,0.0,0.0001165025,0.0,-0.01547503,-0.00125361,5.694549e-05,9.535314e-05,30.01825,0.060968,0.06487557,0.05422385,0.04367505,0.03717436,0.02595399,0.01919215,0.02834182,0.02144781,0.01535591,0.009246282,0.006039136,0.002311424,0.0007026024,0.0,0.09373,1.344528,1.549589,1.558871,0.4580753,0.4832526,0.3481809,0.4115319,0.315974,0.2642791,0.2599924,0.2558274,0.2564115,0.2799471,0.0,7.032482,0.0,0.0,0.225216,0.0,-0.002811044
3,4012001.0,22.37686,1125.699,0.0,0.0,0.06515294,1.405883,0.0,0.0001165025,0.0,-0.01808531,-0.001754147,7.253206e-05,0.0001093489,30.15991,0.0575202,0.06365737,0.05330811,0.04422174,0.03839244,0.02728644,0.02000867,0.03218513,0.02417519,0.0175984,0.01117039,0.007531891,0.003088966,0.0009256585,0.0,0.05557261,1.461807,1.668327,1.618337,0.5373891,0.5463216,0.3876166,0.4558926,0.3418683,0.2739496,0.2624682,0.2568097,0.2573714,0.2836476,0.0,10.20495,0.0,0.0,0.2977633,0.0,-0.003294915
4,5012001.0,22.37719,1125.599,0.0,0.0,0.07208434,1.485068,0.0,0.0001165025,0.0,-0.02032005,-0.001896676,8.676717e-05,0.0001368415,30.36156,0.05619663,0.06607337,0.05338215,0.04423641,0.0388414,0.02756109,0.02012025,0.03523071,0.02637023,0.01938725,0.01279192,0.00883504,0.00380396,0.001133122,0.0,0.05425391,1.726983,1.869528,1.725538,0.6433874,0.6158063,0.427756,0.4977241,0.3659671,0.2834195,0.2650497,0.2579041,0.2583042,0.2866737,0.0,13.39938,0.0,0.0,0.3820999,0.0,-0.003612488
5,6012001.0,22.37679,1125.492,0.0,0.0,0.07803345,1.571852,0.0,0.0001165025,0.0,-0.02229916,-0.001970797,0.0001013085,0.0001736091,30.67644,0.05444512,0.06961334,0.05444814,0.04392843,0.03882173,0.02740754,0.01992939,0.03759793,0.02814075,0.0208415,0.01417926,0.009987203,0.004469465,0.001328908,0.0,0.04732012,2.056075,2.125409,1.868744,0.7699038,0.6898056,0.4689811,0.5392205,0.3889728,0.2926779,0.2677024,0.2590933,0.2592934,0.2891777,0.0,16.52905,0.0,0.0,0.4731864,0.0,-0.003887405
6,7012001.0,22.38036,1125.385,0.0,0.0,0.08222926,1.655943,0.0,0.0001165025,0.0,-0.02410305,-0.002031817,0.0001165051,0.0002087492,30.92022,0.05267122,0.06938858,0.05389018,0.04378979,0.03881748,0.02725079,0.01969731,0.03942605,0.02956216,0.02202996,0.0153734,0.0110115,0.005091831,0.001514862,0.0,0.05249865,2.33095,2.364855,2.016293,0.9037657,0.7649803,0.510429,0.580887,0.4113505,0.3017481,0.2704046,0.2603702,0.2603737,0.2912587,0.0,18.09805,0.0,0.0,0.5599574,0.0,-0.004111039
7,8012001.0,22.38419,1125.288,0.0,0.0,0.08580646,1.729457,0.0,0.0001165025,0.0,-0.02577216,-0.002096997,0.0001323855,0.0002339413,31.10979,0.05333508,0.06785677,0.0531271,0.04389004,0.03893596,0.0273399,0.01966329,0.04091775,0.03070541,0.02300333,0.01640397,0.0119235,0.005673983,0.001691889,0.0,0.05010375,2.522258,2.547681,2.128666,1.018816,0.8334156,0.5493439,0.6217233,0.4332628,0.3106554,0.2731394,0.2617201,0.2613709,0.2931627,0.0,19.435,0.0,0.0,0.6356631,0.0,-0.004319626
8,9012001.0,22.38493,1125.197,0.0,0.0,0.08975178,1.798485,0.0,0.0001165025,0.0,-0.02733118,-0.002168223,0.0001485198,0.0002555714,31.3451,0.05302284,0.06704488,0.05261432,0.04392929,0.03901467,0.02744296,0.01970548,0.04218581,0.03163921,0.02380248,0.01729514,0.01273636,0.006218258,0.001860524,0.0,0.04901172,2.69949,2.71459,2.22999,1.123476,0.895758,0.5854272,0.6607182,0.454606,0.3194081,0.2758938,0.2631403,0.2622801,0.2949329,0.0,22.27414,0.0,0.0,0.7073705,0.0,-0.004520708
9,10012001.0,22.37982,1125.115,0.0,0.0,0.09298339,1.866614,0.0,0.0001165031,0.0,-0.02880186,-0.002211617,0.0001633401,0.0002754094,31.66454,0.04728449,0.06599274,0.05191978,0.04375985,0.03895396,0.02745051,0.01970561,0.04324175,0.03241216,0.02446106,0.01806704,0.01346155,0.006727175,0.002021026,0.0,0.04007957,2.888538,2.889157,2.329825,1.225167,0.9558457,0.6201639,0.6980581,0.475306,0.3279983,0.2786649,0.2646136,0.2633299,0.29638,0.0,24.74832,0.0,0.0,0.7774925,0.0,-0.004700704
