,DATE,RESIDUE_P,HUMUS_P,FERTZR_P,NET_PL_EXCH_P,EXCH_PO4,SUR_DOP+SED_FLX,SUB_DOP_FLX,SUR_DIP_FLX,SUB_DIP_FLX,PRECIP_P,MICRO_P,FIRE_POX_EMIT,PO4_1,PO4_2,PO4_3,PO4_4,PO4_5,PO4_6,PO4_7,PO4_8,PO4_9,PO4_10,PO4_11,PO4_12,PO4_13,PO4_14,PO4_15,EXCH_P_1,EXCH_P_2,EXCH_P_3,EXCH_P_4,EXCH_P_5,EXCH_P_6,EXCH_P_7,EXCH_P_8,EXCH_P_9,EXCH_P_10,EXCH_P_11,EXCH_P_12,EXCH_P_13,EXCH_P_14,EXCH_P_15,PO4_RES,EXCH_P_RES,ECO_HVST_P,NET_P_MIN
0,1012001.0,2.241201,140.4132,0.0,0.0,0.645883,0.0,1.472255e-05,0.0,-0.001224157,1196.172,2.994764,0.0,0.1232461,0.1112304,0.1079793,0.08948176,0.06803956,0.07739214,0.05690806,0.08447571,0.1246559,0.1144591,0.1105685,0.109769,0.1092396,0.1091811,0.0,0.03073744,0.05250989,0.05110747,0.04048381,0.03111277,0.03920706,0.05149429,0.11601,0.1847625,0.1833993,0.1844595,0.1841762,0.1841059,0.1849267,0.0,0.2207299,0.0,0.0,0.0336481
1,2012001.0,2.241763,140.3971,0.0,0.0,0.7218033,0.0,1.472508e-05,0.0,-0.001626266,1196.14,2.996271,0.0,0.02512162,0.07306815,0.06885938,0.06043525,0.04935095,0.05311571,0.04209023,0.06583963,0.09265392,0.08263353,0.07878295,0.07793646,0.07735837,0.07721291,0.0,0.04052188,0.08136207,0.08032231,0.06626148,0.05179771,0.05350557,0.06129885,0.1328958,0.2054817,0.2024999,0.2038506,0.2032935,0.203141,0.2051427,0.0,0.0201985,0.0,0.0,0.04756763
2,3012001.0,2.241838,140.3828,0.0,0.0,0.7826658,0.0,1.472508e-05,0.0,-0.001855462,1196.103,3.002802,0.0,0.01591246,0.06326933,0.05990999,0.05085931,0.04154098,0.04325899,0.03572344,0.0583717,0.08127142,0.07201838,0.06830763,0.06747413,0.06690549,0.06673612,0.0,0.04344756,0.1033404,0.1018356,0.08533972,0.06760506,0.06409734,0.06902959,0.1469842,0.2225175,0.2179043,0.2193286,0.2185144,0.2183141,0.2215708,0.0,0.01379677,0.0,0.0,0.06014857
3,4012001.0,2.241661,140.3682,0.0,0.0,0.8385905,0.0,1.472508e-05,0.0,-0.002024765,1196.062,3.017021,0.0,0.008713456,0.09708998,0.07663657,0.05621418,0.04219993,0.04053898,0.03303142,0.05470951,0.07690528,0.06855134,0.06502972,0.0642253,0.06367421,0.06351348,0.0,0.04611389,0.128108,0.1234162,0.1029584,0.0817928,0.07321941,0.07583267,0.1597999,0.2381147,0.2320137,0.2334668,0.2324095,0.2322018,0.2367794,0.0,0.01875442,0.0,0.0,0.07316238
4,5012001.0,2.241583,140.3521,0.0,0.0,0.8936732,0.0,1.472508e-05,0.0,-0.002165496,1196.021,3.037497,0.0,0.007868532,0.1307359,0.09603846,0.06636284,0.04743596,0.04175708,0.03265178,0.05308636,0.0750069,0.06738254,0.06404799,0.06327525,0.06274171,0.06260033,0.0,0.04851905,0.1625607,0.1505909,0.1230518,0.09688143,0.08221442,0.08233818,0.1719836,0.2530915,0.2456637,0.2471593,0.2458725,0.2456985,0.2516614,0.0,0.02083475,0.0,0.0,0.08722667
5,6012001.0,2.241402,140.3355,0.0,0.0,0.9489676,0.0,1.472508e-05,0.0,-0.002289156,1195.98,3.069311,0.0,0.006701886,0.1532896,0.1095464,0.07373835,0.05144907,0.04324187,0.03285467,0.05250625,0.07410622,0.06696304,0.06379362,0.06305117,0.06253317,0.06241347,0.0,0.05077803,0.2047615,0.1827125,0.1459413,0.1134541,0.09149197,0.08882067,0.1838919,0.2677608,0.259128,0.2606946,0.2591915,0.2590903,0.2665234,0.0,0.02210046,0.0,0.0,0.1019638
6,7012001.0,2.241435,140.319,0.0,0.0,1.004403,0.0,1.472508e-05,0.0,-0.002401774,1195.939,3.093696,0.0,0.007221536,0.1442581,0.1067011,0.07375284,0.05204844,0.04358343,0.03291044,0.05232182,0.07366034,0.06680191,0.06377096,0.06305667,0.06255286,0.06245583,0.0,0.05274462,0.2494316,0.2170741,0.1703991,0.131001,0.1009851,0.09532452,0.1956845,0.2822586,0.2724982,0.2741642,0.2724588,0.2724749,0.2814375,0.0,0.0152238,0.0,0.0,0.1163135
7,8012001.0,2.241395,140.3037,0.0,0.0,1.059223,0.0,1.472508e-05,0.0,-0.002506119,1195.898,3.112509,0.0,0.009910203,0.126,0.09521715,0.06750384,0.0484847,0.04176207,0.03213816,0.0519778,0.07341024,0.06674176,0.06382437,0.06313539,0.06264532,0.06257182,0.0,0.05475897,0.288723,0.2483692,0.1933378,0.1477671,0.1102337,0.1017229,0.2073835,0.2966467,0.2858076,0.2875979,0.2857044,0.2858787,0.2964199,0.0,0.02016423,0.0,0.0,0.1294079
8,9012001.0,2.241106,140.2894,0.0,0.0,1.1134,0.0,1.472508e-05,0.0,-0.002603787,1195.856,3.135952,0.0,0.008617866,0.1227221,0.09098503,0.06394329,0.045916,0.03991544,0.03117484,0.05138784,0.07320571,0.06672568,0.06390505,0.06323824,0.06276187,0.06271233,0.0,0.05735955,0.3240026,0.2764778,0.2141792,0.1631936,0.1189768,0.1079016,0.218929,0.3109462,0.29907,0.3010056,0.2989389,0.2993053,0.3114755,0.0,0.01929156,0.0,0.0,0.1418629
9,10012001.0,2.24025,140.2762,0.0,0.0,1.167264,0.0,1.472515e-05,0.0,-0.002696136,1195.813,3.167895,0.0,0.004737007,0.1177354,0.09033085,0.06286525,0.04495201,0.03888023,0.0305177,0.05082528,0.07300735,0.06672972,0.06399689,0.06334985,0.06288745,0.06286143,0.0,0.05924296,0.3583857,0.3036413,0.2341505,0.1779477,0.1273707,0.1138937,0.2302958,0.3251594,0.3122914,0.3143915,0.3121669,0.3127572,0.326596,0.0,0.01929125,0.0,0.0,0.1540168
