,DATE,PRECN,ET,RUNOFF,WATER,DISCHG,SNOWPACK,WTR_1,WTR_2,WTR_3,WTR_4,WTR_5,WTR_6,WTR_7,WTR_8,WTR_9,WTR_10,WTR_11,WTR_12,WTR_13,SURF_WTR,ICE_1,ICE_2,ICE_3,ICE_4,ICE_5,ICE_6,ICE_7,ICE_8,ICE_9,ICE_10,ICE_11,ICE_12,ICE_13,SURF_ICE,PSI_1,PSI_2,PSI_3,PSI_4,PSI_5,PSI_6,PSI_7,PSI_8,PSI_9,PSI_10,TILE_DRG,SEDIMENT,PSI_SURF,SURF_ELEV,ACTV_LYR,WTR_TBL,unnamed.1
0,1012001.0,0.0,0.5515123,0.0,986.8725,-7.363494,0.0,0.1495412,0.2889072,0.3010923,0.3053484,0.3066506,0.2699856,0.2702563,0.3574914,0.3460489,0.3520133,0.3580015,0.3639872,0.3833993,0.0,0.01590181,0.00448161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.602258,-0.04785557,-0.03539948,-0.03204983,-0.03123095,-0.03062797,-0.03006873,-0.03203892,-0.03292371,-0.03297881,0.0,0.0,-22.68664,0.01800432,-9999.018,-2.400003,
1,2012001.0,0.0,0.9115325,0.0,990.6964,-11.54712,0.0,0.1530493,0.2771288,0.2959706,0.3020736,0.3045469,0.2695685,0.2691008,0.3576589,0.346127,0.3520291,0.358004,0.3640043,0.3934996,0.0,0.02539637,0.01807144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.358539,-0.0654482,-0.04040465,-0.0345677,-0.03257219,-0.03097761,-0.0311872,-0.03171048,-0.03280042,-0.03295338,0.0,0.0,-15.46271,0.01796725,-9999.018,-2.400004,
2,3012001.0,0.0,1.305207,0.0,993.5219,-14.76623,0.0,0.1848867,0.2871965,0.2936394,0.2995844,0.3022977,0.2686636,0.2685593,0.3576525,0.3462022,0.3520471,0.3580093,0.3640614,0.4003465,0.0,0.04643855,0.001585814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.402559,-0.05057801,-0.043021,-0.03685546,-0.03438361,-0.03176177,-0.03172087,-0.03172054,-0.03268198,-0.03292476,0.0,0.0,-2.599415,0.01788582,-9999.018,-2.400002,
3,4012001.0,0.0,1.70761,0.0,995.7304,-17.37675,0.0,0.2688453,0.2814755,0.2912634,0.2977782,0.3007564,0.2676461,0.268096,0.357585,0.3462642,0.3520672,0.3580197,0.3641666,0.4056362,0.0,0.0007855633,9.432058e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08264086,-0.05948536,-0.0457844,-0.0386093,-0.03576237,-0.03267304,-0.03218303,-0.03184967,-0.03258451,-0.03289273,0.0,0.0,-0.1022655,0.01774272,-9999.018,-2.400001,
4,5012001.0,0.0,2.300962,0.0,997.3723,-19.61171,0.0,0.2700215,0.2778736,0.2887281,0.2957048,0.2989679,0.2667139,0.2676136,0.3574879,0.3463112,0.3520887,0.3580374,0.3643108,0.4099574,0.0,9.89844e-16,9.431425e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08091658,-0.06579011,-0.04896383,-0.04073676,-0.03743913,-0.03355012,-0.03267223,-0.03203687,-0.03251081,-0.03285826,0.0,0.0,-0.09349665,0.01759241,-9999.018,-2.4,
5,6012001.0,0.0,2.97448,0.0,998.678,-21.59099,0.0,0.2646725,0.2738785,0.2867778,0.2941153,0.2973777,0.2657495,0.267132,0.3573695,0.3463425,0.3521101,0.3580638,0.3644923,0.4135298,0.0,9.94002e-16,9.430779e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09483868,-0.0735331,-0.05157952,-0.04247035,-0.03902372,-0.03449291,-0.0331435,-0.03226708,-0.03246158,-0.03282421,0.0,0.0,-0.1072129,0.01738007,-9999.018,-2.4,
6,7012001.0,0.0,3.574831,0.0,999.8817,-23.39509,0.0,0.2551547,0.2699954,0.284169,0.2924386,0.2962999,0.264833,0.2666015,0.3572389,0.3463587,0.3521317,0.3581001,0.3647185,0.4164964,0.0,9.891632e-16,9.430146e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1242752,-0.08202304,-0.05535878,-0.04437881,-0.04012008,-0.03541785,-0.0336157,-0.03252293,-0.03243623,-0.03278989,0.0,0.0,-0.1717123,0.01722227,-9999.018,-2.4,
7,8012001.0,0.0,4.007039,0.0,1001.119,-25.06435,0.0,0.249751,0.26709,0.2821983,0.2906873,0.294807,0.2638935,0.2660348,0.3570956,0.3463603,0.3521531,0.3581449,0.3649852,0.419208,0.0,0.004057596,9.429548e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1427122,-0.08912042,-0.05839172,-0.04649369,-0.04170929,-0.03639398,-0.0341288,-0.03280625,-0.03243352,-0.03275579,0.0,0.0,-0.2064647,0.01710784,-9999.018,-2.400001,
8,9012001.0,0.3175,4.515657,0.0,1002.487,-26.62355,2.858939,0.2484667,0.264202,0.2805096,0.2894885,0.2936241,0.262985,0.2654403,0.3569353,0.3463483,0.3521745,0.3581966,0.3653036,0.4217289,0.0,0.003353316,9.428974e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1486663,-0.09694722,-0.06114396,-0.04798677,-0.04302506,-0.03736894,-0.03467702,-0.03305095,-0.03245194,-0.03272146,0.0,0.0,-0.21434,0.01696782,-9999.017,-2.400001,
9,10012001.0,1.27,4.757089,0.0,1004.666,-28.09139,0.7867507,0.2930094,0.2738795,0.2797242,0.2881365,0.2922261,0.2621932,0.2649494,0.3567353,0.34633,0.352196,0.3582643,0.3656612,0.4237885,0.0,9.647183e-16,9.428423e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04255501,-0.07398273,-0.06254183,-0.04974886,-0.044643,-0.03824291,-0.03513901,-0.03321354,-0.03248047,-0.03268737,0.0,0.0,-0.04394642,0.01677447,-9999.017,-2.4,
