,GINI
O2_FLUX_SOIL,0.8180451
SUR_DIC_FLX,0.07364679
ECO_RH,0.038638853
SURF_ELEV,0.030991398
NH3_FLUX,0.007868174
AUTO_RESP,0.005322232
ICE_2_SOIL,0.004013499
DISCHG_SOIL,0.003659061
SOC_1,0.0027472458
SUR_DIN_FLX,0.0024354886
CH4_FLUX_SOIL,0.0022912337
SOC_7,0.0014902396
NBP,0.001245929
O2_9,0.00079263846
RUNOFF_SOIL,0.0007062669
NH4,0.0006735766
WTR_5_SOIL,0.00065799255
EXCH_P_3,0.0005520835
O2_10,0.0005509566
SOC_2,0.00054525945
HUMUS_C,0.00048474807
CH4_10,0.00029863956
PO4_3,0.0002182141
NO3_6,0.00018034752
ICE_1_SOIL,0.00017494489
NO3_10,0.00017237579
NO3_5,0.00017124818
TMAX_AIR,0.00012934825
N2_FIXN,0.000111555346
SOC_5,9.95296e-05
WTR_8_SURF,9.647248e-05
SOC_11,8.526431e-05
WTR_12_SOIL,8.032584e-05
WTR_13_SURF,7.181144e-05
TMAX_SOIL_8,6.3416504e-05
NO3,5.7010388e-05
TMAX_SOIL_1,5.281494e-05
HUM_CAN_AIR,5.1388855e-05
SOIL_H,4.81969e-05
NO3_9,4.7506543e-05
O2_8,4.0868188e-05
CO2_8,3.6428766e-05
NO3_3,3.072628e-05
O2_14,2.3792136e-05
TTL_DIC,2.0958209e-05
NO3_2,2.0691234e-05
CH4_12,2.0146974e-05
WTR_6_SOIL,1.7450422e-05
TEMP_14,1.6674145e-05
PO4_9,1.5687248e-05
CH4_8,1.564177e-05
EXCH_P_7,1.5149809e-05
TEMP_3,1.1744338e-05
SOIL_LE,1.1280504e-05
CH4_11,1.06904e-05
CO2_14,1.04200935e-05
CH4_13,9.34014e-06
WIND_ATM,9.3084145e-06
NH4_1,9.276298e-06
NH4_10,9.1745305e-06
PSI_SURF,8.808253e-06
AIR_TEMP,8.459426e-06
CO2_LIT,6.6301036e-06
PO4_11,6.245941e-06
CH4_FLUX,5.834068e-06
ECO_RN,5.4314946e-06
HUM,5.285079e-06
PO4_6,4.3843775e-06
NO3_4,4.1685807e-06
WTR_TBL_SURF,3.9984106e-06
SOIL_RN,3.9346314e-06
CO2_1,3.1612203e-06
PSI_6,1.9472886e-06
TMIN_SOIL_2,1.9010231e-06
CH4_4,1.7914097e-06
WTR_8_SOIL,9.3837633e-07
TMIN_SOIL_1,7.6989136e-07
TMIN_LITTER,6.471191e-07
TEMP_5,5.759103e-07
EXCH_PO4,2.8712049e-07
TEMP_11,2.1748187e-07
