,GINI
CO2_LIT,0.30043542
EXCH_P_1,0.10818124
O2_9,0.10720047
SURF_RES,0.090226874
TMIN_SOIL_9,0.05066502
CO2_10,0.037719358
PO4_5,0.031880926
ECO_LE,0.02974919
TTL_DIC,0.022438927
PRECN_SOIL,0.018805554
PO4_8,0.014742519
NO3_4,0.01340197
ET,0.009602216
ECO_LAI,0.008240247
O2_11,0.0058723926
CH4_9,0.0058694566
SURF_ELEV,0.005735038
O2_8,0.0051706037
RESIDUE_N,0.0050277053
SOIL_CO2_FLUX,0.0043840813
O2_10,0.0042696055
WTR_8_SOIL,0.003893327
WATER,0.0038849593
NH4_11,0.0038327388
WTR_7_SOIL,0.0035642255
CH4_6,0.0035561621
SOIL_G,0.0030448243
WTR_5_SOIL,0.0029293564
SOIL_LE,0.0029156571
CH4_12,0.0026203834
SOL_RADN,0.002455958
CO2_9,0.0024295463
WTR_2_SOIL,0.002325249
PO4_6,0.0021687096
O2_1,0.0021316726
ECO_RN,0.0020413909
SOC_6,0.002035397
NO3_12,0.0019249357
TEMP_LITTER,0.0019243078
ECO_H,0.001800075
CH4_4,0.0017529476
PO4_2,0.0017516373
CH4_14,0.0017236447
WTR_TBL_SURF,0.0016538603
LITTER_C,0.0016357792
O2_5,0.0016318684
TEMP_9,0.0015818267
O2_LIT,0.0015349771
HUM_CAN_AIR,0.0015255325
PO4_7,0.0015007847
TEMP_4,0.0014271635
ICE_5_SOIL,0.0013817159
CO2_13,0.0012909565
ECO_RH,0.0012840825
TEMP_10,0.0012685816
NH4_6,0.0012623785
TEMP_3,0.0012529241
SOC_8,0.0012495036
HUMUS_N,0.0012365081
CH4_2,0.0012095926
TMIN_SOIL_1,0.0012072261
WIND_ATM,0.0011897368
CH4_7,0.0011799121
SUB_DIC_FLX,0.0010854285
CO2_8,0.001083005
SUR_DOC+SED_FLX,0.0010741409
CH4_13,0.0010554743
CH4_10,0.0010292741
SOC_7,0.0010261611
WTR_5_SURF,0.000995009
DISCHG_SURF,0.0009690856
NBP,0.0009312126
PO4_4,0.00092799164
O2_FLUX,0.00089961244
TMIN_LITTER,0.00089581555
CH4_8,0.0008884168
TEMP_1,0.00088833907
TMAX_SOIL_14,0.00088686997
WTR_2_SURF,0.0008452703
MICRO_C,0.00080883456
TMAX_AIR,0.00076500897
AUTO_RESP,0.00073836895
RESIDUE_P,0.0007241623
PO4_3,0.00068308105
ECO_GPP,0.00065094786
NET_PL_EXCH_P,0.0006407956
TMAX_SOIL_5,0.0006291057
TMIN_AIR,0.000606642
TEMP_8,0.0005921387
TEMP_CAN_AIR,0.00058361376
HMAX_AIR,0.00055801845
WTR_TBL_SOIL,0.00053788576
WTR_4_SURF,0.0005090915
SOIL_H,0.00050482416
PO4_RES,0.0004999044
SOC_5,0.00049052783
TEMP_7,0.00046608943
NH4_10,0.00045658776
CH4_3,0.00044604263
NO3_6,0.0004334342
NH4_4,0.00043267227
NH4_2,0.00036645765
NH4_14,0.00036007047
WTR_3_SURF,0.0003354916
ECO_G,0.00032850733
O2_12,0.00032816431
NH4_5,0.0003117592
WTR_7_SURF,0.00030980897
AIR_TEMP,0.0003034632
CH4_FLUX,0.00030167817
PO4_11,0.00029803033
WTR_1_SOIL,0.00029400628
RESIDUE_C,0.00025225224
NH4,0.00025007466
HUMUS_C,0.0002440508
O2_4,0.00023414126
NH4_7,0.00022824411
CO2_12,0.00022278541
SURF_WTR_SURF,0.00020751913
NO3_2,0.00019963647
SOIL_RN,0.00019659435
NO3_8,0.00019136554
NH4_RES,0.0001909631
TMIN_SOIL_2,0.00015772057
O2_3,0.00015758687
WTR_10_SOIL,0.00014378878
O2_14,0.0001423434
NH3_FLUX,0.00014223631
SOC_12,0.00013773129
WTR_1_SURF,0.00013763366
NO3_3,0.00012492038
CO2_FLUX,0.00010549876
CH4_1,9.767099e-05
TMAX_SOIL_4,8.072213e-05
PREC,7.889591e-05
CO2_1,7.669216e-05
CO2_2,7.5723816e-05
SUB_DOC_FLX,6.808235e-05
NH4_1,5.9722737e-05
HMIN_AIR,5.5001543e-05
CH4_FLUX_SOIL,4.8360132e-05
WTR_13_SURF,3.8808328e-05
MICRO_P,2.8558981e-05
SOC_3,1.746044e-05
