,GINI
O2_FLUX,0.42610744
TMAX_SOIL_3,0.15158989
SUB_DOP_FLX,0.09402094
CO2_LIT,0.021613343
CH4_1,0.019768419
CH4_10,0.019306378
PO4_5,0.018294526
WTR_9_SOIL,0.015352828
PO4_3,0.011861524
PO4_7,0.011316785
NO3_7,0.011186387
PO4_8,0.010994726
O2_3,0.010873891
LITTER_C,0.010705662
RESIDUE_N,0.010500641
WTR_1_SOIL,0.010055081
NO3_11,0.008692313
PRECN,0.00760025
SUR_DIN_FLX,0.007067869
PO4_RES,0.0062579713
ECO_CO2_FLUX,0.0062027867
O2_LIT,0.005862206
WTR_11_SURF,0.00511658
AIR_TEMP,0.004892082
NET_N_MIN,0.0041219792
TEMP_LITTER,0.0036138715
PO4_4,0.003431681
CO2_6,0.0031860312
CO2_13,0.003090682
NO3_5,0.003070798
TEMP_4,0.0029684068
SOC_1,0.0028953038
SURF_RES,0.0028901228
SOC_7,0.0028334688
CH4_3,0.00263372
DISCHG_SURF,0.002620324
NO3_1,0.0023954208
SOIL_H,0.0021547005
NH4_RES,0.0021293673
ECO_NPP,0.0020255344
WTR_14,0.001987133
SURF_WTR_SURF,0.0019797422
NH4_3,0.0017690735
WTR_2_SOIL,0.0016377965
PSI_10,0.0015724025
ECO_GPP,0.0015464129
CO2_2,0.001450823
DISCHG_SOIL,0.0014293845
NH3_FLUX,0.0012414472
WTR_2_SURF,0.001230391
PRECN_SOIL,0.0012124972
CO2_3,0.0011886891
PREC,0.0011705243
TTL_SWC,0.0011314302
TMIN_SOIL_1,0.0010528486
CH4_FLUX,0.0010089492
PO4_12,0.0009768481
SOC_11,0.0009319767
CH4_8,0.0009204955
WTR_10_SOIL,0.000873048
MICRO_N,0.000855206
PSI_SURF,0.0008219448
NH4_7,0.00080867106
MICRO_C,0.00079538603
NBP,0.0007617725
NH4_1,0.00076151785
SUB_DOC_FLX,0.00072749576
TEMP_CAN_AIR,0.0006986717
O2_7,0.0006007342
CH4_13,0.00055972306
HUMUS_P,0.00055856653
ECO_RA,0.0005191253
TMAX_SOIL_7,0.0005153579
N2_FLUX,0.0005125127
NET_PL_EXCH_P,0.00050733326
TMAX_SOIL_4,0.00049673
WTR_5_SOIL,0.0004873196
TMIN_AIR,0.00047132804
O2_12,0.00045414423
O2_10,0.00042754813
PO4_10,0.0004250595
RESIDUE_C,0.0003993274
O2_11,0.00037872046
SOIL_RN,0.00037341655
H2_FLUX,0.00036720056
CH4_4,0.00036345015
SOC_2,0.0003433787
CH4_6,0.0003400437
ECO_RH,0.00033636467
NH4_2,0.00033547223
TEMP_2,0.00033432938
PO4_9,0.00032711736
NET_P_MIN,0.00032063172
ECO_H,0.00031576728
ECO_G,0.0003093177
CO2_4,0.00030398302
SOIL_G,0.0003013834
TMIN_SOIL_7,0.00030093658
O2_1,0.00028984115
NO3_3,0.00026856866
ECO_RN,0.00026821645
RESIDUE_P,0.0002626229
CH4_7,0.0002565024
TEMP_8,0.00025213868
TMAX_SOIL_2,0.00022555668
MICRO_P,0.00021799361
CH4_12,0.00018867539
TMIN_LITTER,0.0001740912
PSI_3,0.00015600031
CO2_7,0.00015187373
CO2_9,0.00014249307
WTR_12_SOIL,0.00012346159
TEMP_6,0.00012307215
HMAX_AIR,0.00011451631
CO2_FLUX,0.00010651601
NO3_6,9.5036645e-05
PO4_1,7.983294e-05
SUR_DOC+SED_FLX,6.4539905e-05
NH4_4,6.241016e-05
TEMP_13,6.096995e-05
HUMUS_C,5.3606305e-05
SOL_RADN,4.2665644e-05
SOC_12,3.717435e-05
CH4_FLUX_SOIL,2.345719e-05
WIND_ATM,2.248732e-05
O2_5,4.7758876e-06
